Title,Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
Music,beatz,10%,70.0,16,208,19
Books,audio reader,100%,800.0,23,234,19
Business,ai social,8%,74.0,15,223,18
Productivity,super ai,11%,157.0,18,223,18
Health & Fitness,biking trails,7%,121.0,14,222,18
Medical,preg,6%,45.0,13,217,18
Health & Fitness,sleep sounds by sleep pillow,6%,145.0,13,210,18
Lifestyle,coded runs,7%,153.0,15,216,18
Health & Fitness,ai health,6%,96.0,13,231,18
Shopping,circle target,222%,522.0,25,116,18
Business,slidescan slide scanner app,7%,69.0,14,216,18
Sports,pga tour live,9%,93.0,17,204,18
Utilities,progresse,6%,34.0,14,35,18
Photo & Video,fix photo blur,10%,145.0,16,231,18
Entertainment,cwtv,26%,166.0,25,204,18
Navigation,citymaps,7%,,13,103,18
Education,infinite campus parent portal,242%,1566.0,36,216,18
Graphics & Design,floor plan app,6%,88.0,14,225,18
Weather,free hurricane tracker,9%,89.0,17,230,18
Music,go player,6%,60.0,14,223,17
Utilities,dvpn,"1,417%",2257.0,38,233,17
Navigation,earth maps,0%,101.0,13,217,17
Social Networking,chat for girls,17%,254.0,20,180,17
Weather,wesh,6%,105.0,13,223,17
Graphics & Design,closet planner 3d,8%,100.0,15,217,17
Books,john macarthur study bible,100%,339.0,23,215,17
Medical,due date countdown,6%,37.0,14,224,17
Finance,xumm,214%,311.0,24,38,17
Weather,tide tracker,5%,46.0,13,205,17
Books,ani,97%,2232.0,37,204,17
Health & Fitness,kids sleep,6%,51.0,13,217,17
Health & Fitness,workout tracker gym log book,6%,69.0,13,233,17
Health & Fitness,pasos,0%,,14,149,17
Books,dc universe infinite,96%,3796.0,40,138,17
Photo & Video,photo prints now cvs photo,573%,2840.0,40,180,17
Utilities,spam block,8%,49.0,15,206,17
Shopping,beauty keeper,6%,70.0,14,213,17
Photo & Video,airprint free,483%,805.0,31,229,17
Medical,babie,0%,43.0,13,206,17
Health & Fitness,bike path,6%,104.0,13,211,17
Graphics & Design,پس زمینه,10%,111.0,16,30,17
Graphics & Design,drawing helper,0%,27.0,14,224,17
Navigation,landgrid,0%,15.0,13,201,17
Education,luvnotes,8%,91.0,16,224,16
Books,macarthur study bible,122%,311.0,22,215,16
Lifestyle,tea safe dating for women,5%,75.0,14,199,16
Magazines & Newspapers,kmanga,67%,541.0,24,175,16
Business,free pdf filler,6%,75.0,13,233,16
Photo & Video,pic merger,13%,169.0,20,211,16
Business,uniuni tracker,0%,39.0,14,223,16
Medical,baby size,6%,69.0,13,210,16
Photo & Video,free headshot generator,15%,85.0,20,241,16
Photo & Video,picture clearer,14%,164.0,19,156,16
Finance,crypto pro live coin tracker,6%,62.0,16,204,16
Navigation,roadtrip planner,6%,94.0,13,226,16
Navigation,lake erie boating weather,0%,80.0,13,203,16
Education,parents square,13%,118.0,22,207,16
Lifestyle,home spotter,67%,232.0,17,212,16
Navigation,نصب دیوار,164%,524.0,25,34,16
Health & Fitness,mile app,17%,110.0,15,197,16
Food & Drink,free instant pot app,10%,69.0,17,216,16
Business,4px,7%,116.0,14,231,16
Business,track 17,7%,43.0,14,221,15
Reference,god tools,-30%,558.0,31,209,15
Productivity,ai school helper,0%,68.0,23,239,15
Graphics & Design,drawing tablet,188%,291.0,24,234,15
Travel,marta breeze,9%,119.0,16,56,15
Travel,goldcar,6%,74.0,13,235,15
Medical,mobile health,82%,378.0,23,214,15
Health & Fitness,weight lifting workout tracker,8%,61.0,14,234,15
Navigation,nyc subway widget,0%,162.0,33,182,15
Graphics & Design,والپیپر,0%,31.0,15,161,15
Shopping,staples advantage,6%,39.0,14,128,15
Health & Fitness,body workouts,6%,92.0,13,229,15
Weather,boat maps,7%,141.0,14,87,15
Medical,pampers sleep coach,100%,452.0,23,220,15
Finance,xlm,10%,121.0,16,240,15
Graphics & Design,higgsfield ai,196%,10384.0,52,232,15
Education,flocabulary,317%,277.0,25,201,15
Graphics & Design,3d paint,8%,73.0,15,201,15
Entertainment,ai girls,"1,221%",5994.0,50,200,15
Reference,translate dog,7%,37.0,14,227,15
Education,crehana,0%,32.0,15,28,15
Medical,my procare,6%,59.0,13,199,14
Health & Fitness,sleep well health tracker,13%,130.0,20,215,14
Health & Fitness,muscle builder,7%,78.0,15,225,14
Photo & Video,طراحی لوگو,10%,134.0,16,43,14
News,fox4 dallas,7%,119.0,13,201,14
Health & Fitness,cycling app,7%,44.0,14,206,14
Weather,noaa hurricane,186%,373.0,23,215,14
Sports,sky sports football,12%,,18,202,14
Sports,cbs fantasy,8%,64.0,15,181,14
Utilities,phone gaurdian,10%,48.0,18,231,14
Photo & Video,smart printer app,15%,389.0,19,236,14
Reference,icoin,6%,39.0,14,239,14
Magazines & Newspapers,bbc sounds,72%,4237.0,39,207,14
Utilities,slidebox photo cleaner,"1,622%",2644.0,36,223,14
Music,вк музыка для айфон,7%,97.0,14,158,14
Education,nerdish,10%,51.0,17,49,14
Music,free downloader for iphone,278%,443.0,26,172,14
Sports,card shark collection,7%,42.0,14,232,13
Social Networking,snapit,400%,313.0,31,152,13
Finance,ripple xrp,19%,124.0,22,147,13
Social Networking,сбербанк онлайн,193%,1205.0,36,118,13
Music,free music ring tones,0%,101.0,27,206,13
News,bbc sports,6%,106.0,13,207,13
Magazines & Newspapers,austin news,15%,331.0,19,226,13
Reference,versiculos diarios,7%,35.0,13,202,13
Education,flower checker,8%,169.0,14,190,13
Weather,turbulence forecast,194%,1820.0,28,234,13
Medical,simple practice clinician app,73%,3747.0,40,176,13
Photo & Video,pix 11,31%,268.0,24,217,13
Health & Fitness,walk earn,0%,27.0,14,224,13
Weather,temperature map,7%,36.0,13,195,13
Weather,flood map,10%,137.0,17,176,13
Weather,nbc chicago weather app,11%,116.0,17,187,13
Travel,e travel philippines,42%,334.0,22,203,13
Books,through the bible,15%,1376.0,28,221,12
Weather,wesh 2 weather app,125%,673.0,28,140,12
Magazines & Newspapers,bbc sport,76%,1026.0,28,213,12
Travel,parallel parking,6%,44.0,14,221,12
Health & Fitness,walking fit,67%,117.0,16,214,12
News,barron’s investing insights,7%,80.0,14,220,12
Health & Fitness,betwixt,13%,184.0,18,17,12
Graphics & Design,create a logo free,7%,68.0,14,229,12
News,nbcdfw,9%,198.0,15,60,12
Travel,disney speed storm,0%,32.0,13,118,12
Food & Drink,flower delivery,158%,472.0,25,204,12
Medical,on my way,100%,1401.0,31,187,12
Music,piano for iphone,16%,131.0,19,194,12
Shopping,laceys dress up wardrobe,9%,108.0,17,244,12
Shopping,i wish,7%,103.0,14,162,12
Photo & Video,icamera,17%,223.0,21,232,12
Graphics & Design,ai tattoos,6%,108.0,13,240,12
Graphics & Design,wiggly paint,550%,875.0,34,230,11
Books,making space,125%,392.0,20,196,11
Books,after dark,6%,80.0,13,209,11
Utilities,secure web,7%,62.0,14,212,11
Music,ytmp3,193%,563.0,29,223,11
Photo & Video,unblur photo clearer,10%,69.0,16,227,11
Photo & Video,fix blurry pictures,10%,59.0,16,236,11
Medical,commonspirit health,71%,1776.0,34,190,11
Productivity,documentation,9%,134.0,15,215,11
Education,toddler games for 4 year olds free,96%,917.0,33,245,11
Education,free vocabulary app,8%,112.0,15,246,11
Education,infinite campus student,275%,449.0,25,211,11
Health & Fitness,triathlon,7%,71.0,14,176,11
Reference,faith ai,271%,187.0,23,227,11
Travel,walking tours,6%,72.0,13,179,11
Navigation,where to go,7%,194.0,13,159,11
Entertainment,aigirl,8%,122.0,15,216,11
Lifestyle,free birthday invitation,0%,60.0,14,230,11
Sports,on3 app,295%,1883.0,32,197,11
Reference,read the bible in one year,8%,78.0,15,223,11
Music,dj it,86%,,22,141,11
Travel,travel japan,8%,113.0,15,175,10
Entertainment,descargador de videos gratis,329%,352.0,25,212,10
Social Networking,be you social,169%,1749.0,37,205,10
Weather,magicseaweed,6%,108.0,13,218,10
Travel,felyx,35%,165.0,26,28,10
Weather,foxweather,0%,30.0,14,232,10
Health & Fitness,military workout,292%,627.0,29,225,10
Health & Fitness,workout plans,7%,127.0,14,236,10
Reference,pcgs photograde,11%,130.0,18,200,10
Health & Fitness,period tracker teen,17%,87.0,14,222,10
Health & Fitness,کالری,7%,41.0,14,161,10
News,9 news app,9%,84.0,16,234,10
Shopping,uniq,6%,51.0,14,111,10
Reference,us coin collector,192%,1036.0,31,206,10
Business,authenticator app bank of america,9%,146.0,16,236,10
Music,dj app free,9%,78.0,16,199,10
Navigation,water gps,6%,129.0,13,112,10
Weather,boating map,7%,57.0,14,78,9
Books,the bible king james version,6%,76.0,13,214,9
Sports,topps total football,10%,133.0,16,192,9
Weather,boating maps,8%,54.0,15,76,9
Social Networking,pbe,0%,222.0,32,38,9
Books,homestuck,6%,46.0,13,12,9
Productivity,spark ai,227%,784.0,29,234,9
Graphics & Design,skech,8%,130.0,15,216,9
Sports,mlb draft,0%,36.0,16,159,9
Reference,faith app,246%,685.0,28,125,9
News,ny2la,16%,210.0,21,91,9
Productivity,دانلود برنامه دیوار,12%,192.0,18,32,9
Medical,weeks,0%,29.0,14,154,9
Lifestyle,stove,10%,91.0,17,225,9
Productivity,the open,"2,862%",6787.0,59,224,9
Entertainment,独播库,255%,476.0,28,152,9
Social Networking,talk with stranger,0%,37.0,18,155,9
Education,back to school,12%,90.0,18,168,9
Health & Fitness,japanese walking method,0%,31.0,15,224,9
Health & Fitness,health monitor blood sugar,196%,3185.0,42,200,9
Health & Fitness,strong lifts,7%,62.0,16,233,9
Navigation,lake map,8%,167.0,14,91,9
Travel,my dream hotel,9%,147.0,16,216,9
Music,djay,196%,30840.0,61,152,9
Magazines & Newspapers,text to speech app,6%,76.0,13,237,9
News,ai podcast maker,0%,96.0,13,234,8
Medical,hi mommy,0%,102.0,20,217,8
Lifestyle,plus minus,7%,134.0,15,174,8
Reference,daily prayers,7%,80.0,15,229,8
Sports,football fantasy,8%,,14,171,8
Finance,alend safe and instant loan,18%,190.0,22,110,8
News,free adult video chat,193%,840.0,28,166,8
Graphics & Design,dessin,6%,56.0,14,220,8
Music,traktor dj 2,6%,35.0,15,157,8
Medical,livehealth,0%,40.0,13,208,8
Business,way 2 go,7%,74.0,15,192,8
Medical,freestyle libre link,63%,205.0,19,170,8
News,ted talks daily,17%,138.0,14,142,8
Finance,cointelegraph,0%,76.0,17,228,8
Education,ohio temps test,7%,83.0,14,186,8
Travel,topps disney,5%,30.0,13,135,8
Books,read comics,6%,91.0,13,189,8
Music,free music ringtones,12%,187.0,18,205,8
Magazines & Newspapers,speech to text voice to text,8%,150.0,16,224,8
Medical,abbot,6%,50.0,14,109,8
Travel,disney frozen free fall,8%,78.0,14,125,8
Education,preschool games for kids,8%,132.0,15,244,8
Photo & Video,tilt to live,0%,241.0,33,133,8
Medical,dr berg app,159%,1081.0,28,196,8
Photo & Video,subtitle edit,83%,243.0,17,230,8
Health & Fitness,free fasting apps,6%,43.0,13,249,7
Education,campus parent portal,817%,621.0,31,217,7
Photo & Video,man hair style changer,20%,118.0,22,186,7
Medical,baby sleep trainer,7%,81.0,15,230,7
Education,rqs focus,7%,38.0,14,191,7
Reference,free kids bible,7%,68.0,14,229,7
Food & Drink,delta kim,6%,128.0,13,50,7
Business,time clock employee,6%,45.0,13,231,7
Music,magical mixing,8%,167.0,15,220,7
Lifestyle,find my phone app,150%,,25,238,7
Medical,meagain glp 1 all in one app,31%,3573.0,37,228,7
Education,learn turkish,354%,535.0,30,196,7
Reference,speaking photo,0%,90.0,13,185,7
Health & Fitness,apple watch 10,7%,66.0,16,225,7
Graphics & Design,sherwin,6%,90.0,14,71,7
Magazines & Newspapers,yaoi manga,8%,69.0,16,187,7
Weather,hava durumu,6%,77.0,13,198,7
Sports,premier league fantasy football,214%,327.0,23,114,7
News,newsela,200%,1072.0,29,14,7
Reference,escanear monedas,8%,107.0,15,210,6
Business,affiliate,6%,116.0,15,196,6
Travel,breeze marta,125%,509.0,25,189,6
News,frontline wildfire tracker,160%,676.0,27,203,6
Health & Fitness,blood pressure meter,8%,84.0,14,222,6
Utilities,my com,0%,28.0,14,218,6
Photo & Video,ig video downloader,314%,343.0,26,179,6
Books,joyce meyer,6%,32.0,13,39,6
Graphics & Design,buisness logo,7%,36.0,14,224,6
Magazines & Newspapers,serial reader,7%,55.0,15,223,6
Weather,beach bum tanning,186%,250.0,22,195,6
Medical,snuggly baby heartbeat listen,9%,210.0,15,235,6
Weather,my tide times,6%,39.0,13,171,6
Sports,guillotine fantasy football,686%,698.0,30,151,6
Sports,fantasy premier league,300%,703.0,29,148,6
Graphics & Design,ai arch,7%,112.0,14,237,6
Education,ca dmv permit test,74%,462.0,33,217,6
Sports,draft sharks,9%,91.0,18,137,6
News,kxan news,114%,393.0,20,245,6
Music,mixcaptions,6%,55.0,15,220,5
Sports,open golf,32%,186.0,34,209,5
Photo & Video,doink,17%,332.0,20,139,5
Music,shoom,280%,460.0,28,30,5
Magazines & Newspapers,news1414,53%,509.0,23,199,5
Music,topeka music vacations,10%,130.0,17,209,5
Education,perusall,11%,212.0,17,209,5
Medical,rightway healthcare,124%,1908.0,33,217,5
Education,speak pal,10%,105.0,18,225,5
Medical,mom and baby,7%,95.0,15,207,5
Medical,kyla health,0%,41.0,14,229,5
Reference,bubble screen translate,6%,37.0,13,210,5
Reference,ليبيا,80%,89.0,17,201,5
Entertainment,aı girls,"1,215%",6395.0,50,210,5
News,todayistheday,158%,4780.0,42,96,4
Medical,wonderweeks,190%,410.0,24,172,4
Books,free reading apps for kids,72%,2328.0,34,223,4
Education,my backpack,31%,189.0,24,53,4
Utilities,photo cleaner swipick,15%,65.0,19,231,4
Medical,tarp,9%,42.0,15,195,4
Medical,contracciones,9%,57.0,17,179,4
Productivity,ai business idea validator,15%,85.0,19,219,4
Books,kids reading app,96%,1065.0,30,215,4
Books,reading apps for kids for free,96%,1994.0,34,222,4
Education,identify mushrooms,10%,86.0,17,201,4
Sports,livematch,0%,56.0,21,229,4
Medical,the wonder weeks,14%,22748.0,50,168,4
Medical,my health planner,86%,294.0,19,221,4
Sports,teamates,0%,98.0,14,234,4
Books,instuner free,0%,55.0,13,220,4
Graphics & Design,pencil2d,225%,426.0,32,219,4
Graphics & Design,live wallpaper 3d,6%,83.0,14,200,4
Music,lollapalooza,239%,3693.0,42,85,3
Navigation,rpm speed,10%,54.0,16,224,3
Social Networking,fb saver,350%,301.0,26,123,3
Music,christian podcast,6%,39.0,14,227,3
Music,beats apple,7%,140.0,15,206,3
Books,anime nyc,233%,239.0,22,201,3
Photo & Video,vidu studio,71%,129.0,18,210,3
Sports,scanbizcards,7%,90.0,14,226,3
Weather,wetteronline,9%,87.0,16,95,3
Education,iago learn japanese,20%,359.0,21,224,3
Health & Fitness,apple watch health,6%,107.0,13,239,3
News,texas news,13%,172.0,19,211,3
News,watch market,8%,227.0,14,225,3
News,wqad news 8 quad cities,6%,76.0,13,242,3
Graphics & Design,3d wallpapers,9%,136.0,16,216,3
Sports,fantasy football draft kit,364%,658.0,30,151,3
Sports,the open championship,292%,2028.0,54,213,3
Business,pamf,0%,50.0,13,218,3
Education,learning korean,9%,124.0,16,209,3
Business,work time,6%,39.0,13,229,3
Sports,the golf channel,7%,58.0,15,201,3
Education,fluentika,8%,62.0,16,244,3
Shopping,6thstreet,8%,40.0,15,146,3
Entertainment,ai girlfriend nsfw,10%,162.0,16,190,3
Medical,cubtale,7%,42.0,14,179,3
Health & Fitness,heart rate tracker,238%,1456.0,34,223,2
Weather,caltrans road conditions,6%,131.0,13,220,2
Books,readingcom,7%,64.0,14,227,2
Navigation,transit stop cta tracker,8%,74.0,15,163,2
Sports,open championship,"6,400%",2788.0,54,213,2
Books,aldiko,7%,83.0,14,12,2
Health & Fitness,leap fitness group,17%,153.0,14,230,2
Books,audiobook summaries,18%,73.0,20,203,2
Magazines & Newspapers,wkyt news,113%,281.0,21,242,2
Photo & Video,glow camera,9%,35.0,17,235,2
Health & Fitness,stress tracker for watch,0%,26.0,13,237,2
Finance,2 accounts,15%,127.0,21,213,2
Medical,pathways org baby milestones,7%,107.0,14,190,2
Education,ap classroom,482%,6042.0,41,197,2
Education,georgia drivers license,10%,173.0,17,234,2
Reference,father mike schmitz,0%,27.0,13,199,1
Medical,diabetic log,114%,271.0,20,226,1
Navigation,havaist,6%,68.0,13,24,1
Books,free childrens books,7%,98.0,14,239,1
Travel,mondo,92%,524.0,25,199,1
Medical,und,29%,152.0,18,222,1
Sports,select events basketball,150%,782.0,30,206,1
Medical,diabetes log,10%,116.0,16,219,1
Health & Fitness,apple activity app,7%,73.0,14,231,1
Business,clock out app,6%,40.0,13,219,1
Education,reading apps kids,550%,586.0,29,164,1
Books,fresh books,80%,175.0,16,147,1
Food & Drink,kfc barbados,0%,33.0,14,218,1
Sports,la liga fantasy,20%,186.0,22,181,1
Books,storyfont,161%,1534.0,32,184,1
Education,abckids,9%,58.0,16,204,1
Sports,fantasy football cheatsheet,10%,117.0,18,165,1
Social Networking,mic app,17%,193.0,21,229,1
Social Networking,talk to strangers free,11%,148.0,19,193,1
News,local 10 news,13%,74.0,19,241,1
Education,my ap classroom,8%,101.0,14,183,0
Travel,e janata,6%,42.0,13,34,0
Education,deutsch lernen,17%,66.0,14,199,0
Utilities,phone check,8%,46.0,15,222,0
Utilities,will sub plus,6%,32.0,14,25,0
Education,language learning game for toddlers,0%,32.0,15,240,0
Utilities,this american life,0%,164.0,14,31,0
Education,mushroom identification,8%,43.0,16,203,0
Education,unrulr,10%,117.0,16,226,0
Health & Fitness,pregnancy scanner,7%,103.0,14,222,0
Navigation,ride on real time,26%,102.0,24,231,0
Education,ap college board,13%,146.0,18,162,0
Travel,سكك حديد مصر,6%,73.0,14,32,0
Weather,heavy rain,8%,169.0,15,177,0
Shopping,sports thread,10%,78.0,18,196,0
Navigation,gps finder,6%,106.0,13,233,0
Medical,my connection,7%,135.0,14,200,0
Medical,usmle rx,6%,65.0,13,179,0
Productivity,comet,"1,056%",5090.0,45,164,0
Reference,devoted,0%,116.0,13,167,0
Medical,cigna envoy,71%,646.0,25,52,0
Reference,coin push,6%,119.0,13,200,0
Food & Drink,instamart 10 mins grocery app,7%,45.0,14,210,0
Food & Drink,mcdonalds pos,15%,680.0,24,218,0
Sports,فانتازي,7%,36.0,14,218,0
Productivity,sibme,12%,43.0,17,233,0
Productivity,bypass ai,11%,184.0,17,237,0
Reference,baby cry translator,10%,188.0,16,220,0
Productivity,bulk temp mail,200%,309.0,27,230,0
Sports,michigan athletics mobile app,8%,135.0,16,205,0
Sports,tampa bay lightning,8%,44.0,18,134,0
Sports,columbus blue jackets,0%,56.0,21,130,0
Books,sách,6%,103.0,13,208,0
Weather,wtoc,7%,173.0,15,36,0
Weather,richter scale,6%,42.0,14,163,0
Magazines & Newspapers,immersive,11%,196.0,18,190,0
Magazines & Newspapers,scary stories texting story,6%,38.0,13,184,0
Social Networking,send to self,12%,330.0,16,28,0
